,deso,q1_pct,q2_pct,q3_pct,q4_pct,median_tkr,avg_tkr,tot_pop
350,0180C4510,1,4,9,86,536.4,707.1,1706
351,0180C4520,7,10,22,60,390.6,478.3,2186
352,0180C4530,20,18,28,34,307.0,325.4,2487
353,0180C4540,15,9,14,62,436.3,636.9,1320
354,0180C4550,10,9,22,58,394.5,443.4,1267
355,0180C4560,14,10,17,59,425.2,803.6,1672
356,0180C4570,10,11,22,57,385.1,436.9,1230
357,0180C4580,4,8,17,72,446.5,543.2,2211
358,0180C4590,14,17,28,41,329.4,343.7,1461
359,0180C4600,11,11,19,59,389.1,482.0,1774
360,0180C4610,13,14,21,52,369.7,430.2,1654
361,0180C4620,11,15,15,58,409.6,553.0,1474
362,0180C4630,19,12,22,47,348.1,491.0,1838
363,0180C4640,13,11,22,54,374.1,484.5,1800
364,0180C4650,10,11,14,65,429.5,686.9,1447
365,0180C4660,13,11,20,56,389.6,490.6,1443
366,0180C4670,17,20,27,36,311.2,361.7,1465
367,0180C4680,10,16,30,44,340.3,376.7,1199
368,0180C4690,14,9,13,63,449.2,666.1,1313
369,0180C4700,12,11,20,56,390.6,565.3,2623
370,0180C4710,15,11,15,59,416.9,576.3,2078
371,0180C4720,12,12,16,61,435.2,1055.3,1496
372,0180C4730,6,9,21,64,415.2,465.2,1962
373,0180C4740,10,8,20,62,425.1,510.3,1515
374,0180C4750,16,11,14,59,396.1,909.2,1325
375,0180C4760,9,9,14,68,466.8,724.0,1225
376,0180C4770,15,9,14,62,433.8,695.7,1858
377,0180C4780,13,10,21,56,393.2,529.5,1524
378,0180C4790,12,11,15,61,414.9,977.9,1557
379,0180C4800,10,10,19,62,425.7,591.2,1553
380,0180C4810,9,6,10,75,609.2,1517.5,1234
381,0180C4820,11,11,15,64,436.4,569.3,1588
382,0180C4830,10,11,13,66,455.2,829.5,1592
383,0180C4840,13,12,19,55,395.6,459.5,1590
384,0180C4850,6,7,18,68,456.1,609.0,1534
385,0180C4860,8,8,21,63,422.3,519.2,1961
386,0180C4870,13,9,13,65,481.1,974.4,1724
387,0180C4880,10,12,18,60,409.5,577.9,1485
388,0180C4890,11,11,15,63,435.4,694.9,1184
389,0180C4900,10,13,20,57,387.8,584.9,1620
390,0180C4910,14,15,21,50,360.3,434.3,1574
391,0180C4920,10,10,18,63,419.9,492.2,1649
392,0180C4930,13,14,20,52,368.1,480.7,1869
393,0180C4940,27,24,27,22,263.1,285.6,2170
394,0180C4950,27,29,24,20,246.9,281.1,1510
395,0180C4960,13,10,12,65,467.9,631.9,1493
396,0180C4970,15,9,19,58,393.7,430.0,2109
397,0180C4980,31,15,12,42,295.6,394.7,1232
398,0180C4990,11,9,16,63,423.2,604.2,1582
399,0180C5000,12,12,19,56,392.0,510.4,1564
400,0180C5010,6,8,14,72,511.2,1026.5,1725
401,0180C5020,9,9,18,64,434.9,528.4,1990
402,0180C5030,22,17,20,41,318.1,373.8,1743
403,0180C5040,11,9,17,62,424.4,533.5,1992
404,0180C5050,9,8,16,68,474.7,1050.9,2119
405,0180C5060,10,9,16,65,434.8,541.2,2074
406,0180C5070,17,14,19,51,362.2,475.5,1232
407,0180C5080,16,14,21,48,355.3,438.5,1645
408,0180C5090,17,12,19,53,376.8,515.9,1918
409,0180C5100,10,13,21,55,381.4,485.4,1926
410,0180C5110,7,10,20,63,426.4,517.4,1730
411,0180C5120,11,7,14,68,485.8,1032.2,1732
412,0180C5130,8,10,16,66,444.8,530.0,1214
413,0180C5140,14,10,14,62,433.9,638.4,1430
