,deso,q1_pct,q2_pct,q3_pct,q4_pct,median_tkr,avg_tkr,tot_pop
530,0180C6310,54,25,16,5,182.7,204.3,1611
531,0180C6320,25,26,27,22,260.1,282.6,1854
532,0180C6330,44,19,16,20,213.9,250.3,1538
533,0180C6340,28,29,28,15,245.8,259.6,1439
534,0180C6350,55,27,13,5,182.9,197.7,2111
535,0180C6360,51,28,16,5,190.4,206.7,1814
536,0180C6370,58,27,12,3,172.7,192.4,1604
537,0180C6380,56,25,13,6,177.3,198.0,2115
538,0180C6390,25,22,29,25,275.2,293.8,1970
539,0180C6400,36,31,21,12,218.6,239.0,1974
540,0180C6410,25,30,28,17,253.5,271.8,1543
541,0180C6420,43,32,20,6,210.0,219.6,1780
542,0180C6430,50,21,21,8,191.1,220.1,1784
543,0180C6440,39,30,20,11,215.3,236.1,2018
